time_ms,closed_loop_angle,control_angle,angle_difference,closed_loop_velocity,control_velocity,velocity_difference,closed_loop_neural_offset,control_observed_neural_offset
341,1.1187556982040405,-0.0228798259049654,1.141635524109006,0.2645394504070282,-0.13895919919013977,0.40349864959716797,0.00307164023133491,0.1705819194702633
342,1.1190729141235352,-0.023141195997595787,1.142214110121131,0.20730489492416382,-0.14827024936676025,0.3555751442909241,0.0029953111234687635,0.1682721824226899
343,1.1193130016326904,-0.023397544398903847,1.1427105460315943,0.1634858101606369,-0.06662017852067947,0.23010598868131638,0.0029208675263502903,0.1659555277261875
344,1.1194994449615479,-0.02367529831826687,1.1431747432798147,0.13719041645526886,-0.14256508648395538,0.27975550293922424,0.0028482634173502552,0.1636335784107475
345,1.1196497678756714,-0.023938003927469254,1.1435877718031406,0.11909510940313339,-0.13242866098880768,0.25152377039194107,0.002777453869819535,0.1613079275757333
346,1.1197798252105713,-0.024197937920689583,1.1439777631312609,0.11311634629964828,-0.14263324439525604,0.2557495906949043,0.00270839502835013,0.1953247725913198
347,1.1198995113372803,-0.02445376291871071,1.144353274255991,0.10986683517694473,-0.0686369389295578,0.17850377410650253,0.002641044084526062,0.19320706236209728
348,1.1200162172317505,-0.024737153202295303,1.1447533704340458,0.11265689134597778,-0.15110117197036743,0.2637580633163452,0.0025753592531575775,0.19106334611996698
349,1.1201308965682983,-0.025010712444782257,1.1451416090130806,0.10872164368629456,-0.1461353749036789,0.25485701858997345,0.00251129974899289,0.1888953390694025
350,1.1202466487884521,-0.025280021131038666,1.1455266699194908,0.11064508557319641,-0.14846421778202057,0.259109303355217,0.0024488257639007915,0.18670477029593602
351,1.1203641891479492,-0.02553887665271759,1.1459030658006668,0.11507898569107056,-0.140094593167305,0.25517357885837555,0.0023878984445179496,0.18449337778976907
352,1.1204798221588135,-0.025828037410974503,1.146307859569788,0.10762634873390198,-0.14652951061725616,0.25415585935115814,0.002328479870354283,0.18226290364440095
353,1.120591640472412,-0.026097387075424194,1.1466890275478363,0.10527285933494568,-0.13752809166908264,0.24280095100402832,0.002270533032349753,0.1800150894442757
354,1.1207008361816406,-0.02636082097887993,1.1470616571605206,0.10624410957098007,-0.14052021503448486,0.24676432460546494,0.002214021811876049,0.17775167185335053
355,1.1208033561706543,-0.02661820873618126,1.1474215649068356,0.0956365242600441,-0.19049659371376038,0.2861331179738045,0.002158910960176147,0.1754743784144671
356,1.12090003490448,-0.026915453374385834,1.1478154882788658,0.09861745685338974,-0.12348946928977966,0.2221069261431694,0.002105166078235521,0.17318492356747178
357,1.1209889650344849,-0.027158422395586967,1.1481473874300718,0.08647694438695908,-0.1226581409573555,0.20913508534431458,0.002052753597077517,0.17088500489219186
358,1.1210713386535645,-0.0274131428450346,1.148484481498599,0.08283214271068573,-0.13297487795352936,0.2158070206642151,0.0020016407584767526,0.1685762995806389
359,1.1211451292037964,-0.027677353471517563,1.148822482675314,0.07471105456352234,-0.13410918414592743,0.20882023870944977,0.0019517955960831335,0.16626046114118387
360,1.1212046146392822,-0.027950499206781387,1.1491551138460636,0.06101560220122337,-0.14581021666526794,0.20682581886649132,0.0019031869169501558,0.1639391163359321
361,1.1212432384490967,-0.0281977541744709,1.1494409926235676,0.046186722815036774,-0.11897531896829605,0.16516204178333282,0.001855784283460421,0.16161386235112868
362,1.121260404586792,-0.028451677411794662,1.1497120819985867,0.02954087033867836,-0.20308737456798553,0.2326282449066639,0.001809557995641281,0.15928626419913783
363,1.1212555170059204,-0.028734393417835236,1.1499899104237556,0.017924310639500618,-0.12110570073127747,0.13903001137077808,0.0017644790738646776,0.15695785234937243
364,1.1212290525436401,-0.02900303527712822,1.1502320878207684,-0.0003189442213624716,-0.1499456763267517,0.14962673210538924,0.0017205192419233184,0.15463012058449366
365,1.1211822032928467,-0.02925379015505314,1.1504359934478998,-0.012620227411389351,-0.13912160694599152,0.12650137953460217,0.0016776509104773907,0.15230452407725806
366,1.121114730834961,-0.029517965391278267,1.1506326962262392,-0.025917328894138336,-0.2029961198568344,0.17707879096269608,0.0016358471608645953,0.14998247768255407
367,1.1210275888442993,-0.029803317040205002,1.1508309058845043,-0.03961021453142166,-0.12169234454631805,0.08208213001489639,0.001595081729267006,0.1476653544384406
368,1.1209220886230469,-0.03006964735686779,1.1509917359799147,-0.04980127140879631,-0.1232195794582367,0.07341830804944038,0.001555328991228233,0.1453544842693704
369,1.120796799659729,-0.030351925641298294,1.1511487253010273,-0.06810833513736725,-0.1478688269853592,0.07976049184799194,0.0015165639465141711,0.14305115288424863
370,1.1206529140472412,-0.03060806356370449,1.1512609776109457,-0.08073639124631882,-0.11850544810295105,0.03776905685663223,0.0014787622043111182,0.1407566008615329
371,1.1204921007156372,-0.030904633924365044,1.1513967346400023,-0.09481941908597946,-0.1197652593255043,0.02494584023952484,0.0014418999687544898,0.1384720229132253
372,1.1203135251998901,-0.031175563111901283,1.1514890883117914,-0.09843559563159943,-0.13938242197036743,0.040946826338768005,0.0014059540247821356,0.13619856731932825
373,1.1201179027557373,-0.03145056590437889,1.1515684686601162,-0.11401236057281494,-0.1540193110704422,0.04000695049762726,0.0013709017243055954,0.13393733552413403
374,1.119905948638916,-0.03169664368033409,1.15160259231925,-0.1285170614719391,-0.19052796065807343,0.06201089918613434,0.0013367209726934393,0.13168938188558194
375,1.119678020477295,-0.03197590634226799,1.151653926819563,-0.13151416182518005,-0.11848842352628708,-0.013025738298892975,0.001303390215560224,0.17758958351595425
376,1.1195069551467896,-0.0322541669011116,1.1517611220479012,-0.14046303927898407,-0.178388774394989,0.037925735116004944,0.0012708884258552378,0.17531136549765072
377,1.1192387342453003,-0.03253507241606712,1.1517738066613674,-0.1517598181962967,-0.11653317511081696,-0.035226643085479736,0.0012391950912448435,0.17302110782729493
378,1.1189647912979126,-0.032821912318468094,1.1517867036163807,-0.16263823211193085,-0.16514518857002258,0.002506956458091736,0.0012082902017825359,0.17072050674382916
379,1.1187502145767212,-0.03306512162089348,1.1518153361976147,-0.16894204914569855,-0.15754175186157227,-0.011400297284126282,0.0011781542378610788,0.16841123785545103
380,1.1184372901916504,-0.033349182456731796,1.1517864726483822,-0.18454895913600922,-0.11625557392835617,-0.06829338520765305,0.0011487681584405052,0.16609495286040799
381,1.1181212663650513,-0.03362768143415451,1.1517489477992058,-0.19847819209098816,-0.15784409642219543,-0.040634095668792725,0.001120113389546873,0.16377327650102508
382,1.1178544759750366,-0.033902719616889954,1.1517571955919266,-0.2757967412471771,-0.15639305114746094,-0.11940369009971619,0.0010921718130356695,0.16144780375070045
383,1.1175079345703125,-0.03420095518231392,1.1517088897526264,-0.2152855098247528,-0.11849751323461533,-0.09678799659013748,0.001064925755614704,0.15912009723232434
384,1.1172301769256592,-0.034455928951501846,1.151686105877161,-0.13520769774913788,-0.12972263991832733,-0.005485057830810547,0.0010383579781207963,0.15679168486541975
385,1.1168543100357056,-0.034722644835710526,1.151576954871416,-0.2338416874408722,-0.13883687555789948,-0.09500481188297272,0.0010124516650450721,0.15446405773825322
386,1.1164741516113281,-0.03499729931354523,1.1514714509248734,-0.24285438656806946,-0.17529793083667755,-0.0675564557313919,0.0009871904143016752,0.1521386682002297
387,1.116142988204956,-0.035287197679281235,1.1514301858842373,-0.323190301656723,-0.11626680940389633,-0.2069234922528267,0.0009625582272344835,0.18982047452682296
388,1.1157400608062744,-0.03559199720621109,1.1513320580124855,-0.2561846077442169,-0.157524973154068,-0.09865963459014893,0.0009385394988568607,0.1876392915769199
389,1.115399956703186,-0.03583305701613426,1.1512330137193203,-0.31984400749206543,-0.11707811802625656,-0.20276588946580887,0.0009151190083195315,0.18543654477141713
390,1.1149688959121704,-0.0361185260117054,1.1510874219238758,-0.2617269456386566,-0.11396167427301407,-0.14776527136564255,0.0008922819096015555,0.18321397503323988
391,1.114615797996521,-0.036397065967321396,1.1510128639638424,-0.27604055404663086,-0.13497674465179443,-0.14106380939483643,0.0008700137224195437,0.1809733247144562
392,1.1141618490219116,-0.036704376339912415,1.150866225361824,-0.28086382150650024,-0.15715986490249634,-0.1237039566040039,0.0008483003233503705,0.17871633309804968
393,1.1137899160385132,-0.03699763864278793,1.1507875546813011,-0.29136282205581665,-0.15118224918842316,-0.1401805728673935,0.0008271279371628859,0.20581567786870225
394,1.1133172512054443,-0.03725278750061989,1.1505700387060642,-0.29665055871009827,-0.06438355147838593,-0.23226700723171234,0.0008064831283537133,0.2038592136352966
395,1.1129282712936401,-0.03753378614783287,1.150462057441473,-0.3046094477176666,-0.1517077386379242,-0.15290170907974243,0.0007863527928831382,0.20186828159084813
396,1.1124404668807983,-0.03782647103071213,1.1502669379115105,-0.3022168278694153,-0.1681249439716339,-0.13409188389778137,0.0007667241501059796,0.19984444006002508
